id_competence;competence;synonymes;categorie;domaine;poids;niveau_recommande
C067;5S;5s;Technique;Industrie;0.95;Intermediaire
C068;Controle qualite;controle qualite;Technique;Industrie;0.65;Avance
C069;Process industriel;process industriel;Technique;Industrie;0.75;Debutant
C070;Comptabilite;comptabilite;Technique;Gestion;0.85;Intermediaire
C071;Excel;excel;Technique;Gestion;0.95;Avance
C072;Gestion administrative;gestion administrative;Technique;Gestion;0.65;Debutant
C073;Facturation;facturation;Technique;Gestion;0.75;Intermediaire
C074;Paie;paie;Technique;Gestion;0.85;Avance
C075;Relation client;relation client;Technique;Gestion;0.95;Debutant
C076;ERP;erp;Technique;Gestion;0.65;Intermediaire
C077;Archivage;archivage;Technique;Gestion;0.75;Avance
C078;Adobe Photoshop;adobe photoshop;Technique;Design & Communication;0.85;Debutant
C079;Adobe Illustrator;adobe illustrator;Technique;Design & Communication;0.95;Intermediaire
C080;InDesign;indesign;Technique;Design & Communication;0.65;Avance
C081;Mise en page;mise en page;Technique;Design & Communication;0.75;Debutant
C082;Prepress;prepress;Technique;Design & Communication;0.85;Intermediaire
C083;Branding;branding;Technique;Design & Communication;0.95;Avance
C084;Impression;impression;Technique;Design & Communication;0.65;Debutant
C085;Service client;service client;Technique;Tourisme & Hotellerie;0.75;Intermediaire
C086;Reception;reception;Technique;Tourisme & Hotellerie;0.85;Avance
C087;Gestion reservations;gestion reservations;Technique;Tourisme & Hotellerie;0.95;Debutant
C088;HACCP;hygiene alimentaire|securite alimentaire;Norme;Tourisme & Hotellerie;0.65;Intermediaire
C089;Cuisine;cuisine;Technique;Tourisme & Hotellerie;0.75;Avance
C090;Arts de table;arts de table;Technique;Tourisme & Hotellerie;0.85;Debutant
C091;Housekeeping;housekeeping;Technique;Tourisme & Hotellerie;0.95;Intermediaire
C092;Communication;communication;Technique;Tourisme & Hotellerie;0.65;Avance
C093;ISO 9001;qualite|systeme management qualite;Norme;QHSE;0.75;Debutant
C094;ISO 14001;iso 14001;Norme;QHSE;0.85;Intermediaire
C095;ISO 45001;iso 45001;Norme;QHSE;0.95;Avance
C096;Audit QHSE;audit qhse;Technique;QHSE;0.65;Debutant
C097;Analyse risques;analyse risques;Technique;QHSE;0.75;Intermediaire
C098;Securite travail;securite travail;Technique;QHSE;0.85;Avance
C099;Environnement;environnement;Technique;QHSE;0.95;Debutant
C100;HACCP;hygiene alimentaire|securite alimentaire;Norme;QHSE;0.65;Intermediaire
