id_offre;titre_poste;entreprise;domaine;localisation;type_contrat;niveau_experience;competences_requises;description;source;lien_offre;date_publication;statut_offre;score_min_notification
O018;Controleur Qualite Automobile;Hotel Majestic;Automobile;Rabat;Stage pre-embauche;0-1 an;CAN Bus|Maintenance vehicule|Controle qualite|Lean manufacturing;"Nous recherchons un profil Controleur Qualite Automobile avec maitrise de CAN Bus ; Maintenance vehicule ; Controle qualite ; Lean manufacturing. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/18;2026-06-27;Active;70
O019;Aide Educateur Prescolaire;BTP Nord;Education;Fes;Stage;1-2 ans;Animation pedagogique|Psychologie enfant|Communication parentale|Accompagnement enfant;"Nous recherchons un profil Aide Educateur Prescolaire avec maitrise de Animation pedagogique ; Psychologie enfant ; Communication parentale ; Accompagnement enfant. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/19;2026-01-10;A valider;70
O020;Assistant Genie Civil;Energia Plus;BTP;Nador;Interim;Junior;Topographie|Securite chantier|Lecture plans|AutoCAD;"Nous recherchons un profil Assistant Genie Civil avec maitrise de Topographie ; Securite chantier ; Lecture plans ; AutoCAD. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/20;2026-02-11;Active;70
O021;Technicien Electricite Industrielle;QHSE Consulting;Electricite & Energie;Casablanca;CDI;Debutant;Froid industriel|Electricite industrielle|Automatisme|Schema electrique;"Nous recherchons un profil Technicien Electricite Industrielle avec maitrise de Froid industriel ; Electricite industrielle ; Automatisme ; Schema electrique. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/21;2026-03-12;Active;70
O022;Technicien Maintenance;AgroValor;Industrie;Oujda;CDD;0-1 an;Maintenance industrielle|Production|Lean manufacturing|Gestion stock;"Nous recherchons un profil Technicien Maintenance avec maitrise de Maintenance industrielle ; Production ; Lean manufacturing ; Gestion stock. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/22;2026-04-13;Active;70
O023;Assistant Administratif;Oujda Business Center;Gestion;Agadir;Stage pre-embauche;1-2 ans;ERP|Archivage|Comptabilite|Excel;"Nous recherchons un profil Assistant Administratif avec maitrise de ERP ; Archivage ; Comptabilite ; Excel. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/23;2026-05-14;Active;70
O024;Assistant Design Graphique;Smart Infra Maroc;Design & Communication;Meknes;Stage;Junior;InDesign|Mise en page|Prepress|Branding;"Nous recherchons un profil Assistant Design Graphique avec maitrise de InDesign ; Mise en page ; Prepress ; Branding. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/24;2026-06-15;Active;70
O025;Commis de Cuisine;Atlas Services;Tourisme & Hotellerie;Tanger;Interim;Debutant;Service client|Reception|Gestion reservations|HACCP;"Nous recherchons un profil Commis de Cuisine avec maitrise de Service client ; Reception ; Gestion reservations ; HACCP. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/25;2026-01-16;A valider;70
O026;Technicien Hygiene Securite;Maroc Digital Solutions;QHSE;Marrakech;CDI;0-1 an;ISO 14001|ISO 45001|Audit QHSE|Analyse risques;"Nous recherchons un profil Technicien Hygiene Securite avec maitrise de ISO 14001 ; ISO 45001 ; Audit QHSE ; Analyse risques. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/26;2026-02-17;Active;70
O027;Assistant Infrastructure Digitale;Clinique Al Amal;Digital & IT;Kenitra;CDD;1-2 ans;React|HTML|CSS|SQL;"Nous recherchons un profil Assistant Infrastructure Digitale avec maitrise de React ; HTML ; CSS ; SQL. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/27;2026-03-18;Active;70
O028;Auxiliaire de Soins;GreenAgri Maroc;Sante;Rabat;Stage pre-embauche;Junior;Prise des constantes|Dossier patient|Communication patient|Brancardage;"Nous recherchons un profil Auxiliaire de Soins avec maitrise de Prise des constantes ; Dossier patient ; Communication patient ; Brancardage. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/28;2026-04-19;Active;70
O029;Assistant Exploitation Agricole;AutoTech Industrie;Agriculture;Fes;Stage;Debutant;Capteurs agricoles|SIG|Cooperatives|Gestion exploitation;"Nous recherchons un profil Assistant Exploitation Agricole avec maitrise de Capteurs agricoles ; SIG ; Cooperatives ; Gestion exploitation. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/29;2026-05-20;Active;70
O030;Assistant Controle Qualite PAM;Hotel Majestic;Agro-industrie;Nador;Interim;0-1 an;Controle qualite|Conditionnement|HACCP|Plantes medicinales;"Nous recherchons un profil Assistant Controle Qualite PAM avec maitrise de Controle qualite ; Conditionnement ; HACCP ; Plantes medicinales. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/30;2026-06-21;Active;70
O031;Technicien Diagnostic Automobile;BTP Nord;Automobile;Casablanca;CDI;1-2 ans;OBD|CAN Bus|Maintenance vehicule|Controle qualite;"Nous recherchons un profil Technicien Diagnostic Automobile avec maitrise de OBD ; CAN Bus ; Maintenance vehicule ; Controle qualite. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/31;2026-01-22;A valider;70
O032;Educateur Petite Enfance;Energia Plus;Education;Oujda;CDD;Junior;Psychologie enfant|Communication parentale|Accompagnement enfant|Activites prescolaires;"Nous recherchons un profil Educateur Petite Enfance avec maitrise de Psychologie enfant ; Communication parentale ; Accompagnement enfant ; Activites prescolaires. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/32;2026-02-23;Active;70
O033;Technicien Chantier;QHSE Consulting;BTP;Agadir;Stage pre-embauche;Debutant;Beton arme|Topographie|Securite chantier|Lecture plans;"Nous recherchons un profil Technicien Chantier avec maitrise de Beton arme ; Topographie ; Securite chantier ; Lecture plans. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/33;2026-03-24;Active;70
O034;Technicien Genie Thermique;AgroValor;Electricite & Energie;Meknes;Stage;0-1 an;Climatisation|Froid industriel|Electricite industrielle|Automatisme;"Nous recherchons un profil Technicien Genie Thermique avec maitrise de Climatisation ; Froid industriel ; Electricite industrielle ; Automatisme. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/34;2026-04-25;Active;70
O035;Assistant Production Industrielle;Oujda Business Center;Industrie;Tanger;Interim;1-2 ans;Process industriel|Maintenance industrielle|Production|Lean manufacturing;"Nous recherchons un profil Assistant Production Industrielle avec maitrise de Process industriel ; Maintenance industrielle ; Production ; Lean manufacturing. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/35;2026-05-26;Active;70
O036;Assistant Gestion Entreprise;Smart Infra Maroc;Gestion;Marrakech;CDI;Junior;Facturation|Paie|Relation client|ERP;"Nous recherchons un profil Assistant Gestion Entreprise avec maitrise de Facturation ; Paie ; Relation client ; ERP. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/36;2026-06-27;Active;70
O037;Infographiste Prepresse;Atlas Services;Design & Communication;Kenitra;CDD;Debutant;Adobe Illustrator|InDesign|Mise en page|Prepress;"Nous recherchons un profil Infographiste Prepresse avec maitrise de Adobe Illustrator ; InDesign ; Mise en page ; Prepress. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/37;2026-01-10;A valider;70
O038;Assistant Reception Hotel;Maroc Digital Solutions;Tourisme & Hotellerie;Rabat;Stage pre-embauche;0-1 an;Arts de table|Housekeeping|Communication|Service client;"Nous recherchons un profil Assistant Reception Hotel avec maitrise de Arts de table ; Housekeeping ; Communication ; Service client. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/38;2026-02-11;Active;70
O039;Assistant QHSE;Clinique Al Amal;QHSE;Fes;Stage;1-2 ans;Environnement|HACCP|ISO 9001|ISO 14001;"Nous recherchons un profil Assistant QHSE avec maitrise de Environnement ; HACCP ; ISO 9001 ; ISO 14001. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/39;2026-03-12;Active;70
O040;Developpeur Web Junior;GreenAgri Maroc;Digital & IT;Nador;Interim;Junior;HTML|CSS|SQL|Git;"Nous recherchons un profil Developpeur Web Junior avec maitrise de HTML ; CSS ; SQL ; Git. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/40;2026-04-13;Active;70
O041;Ambulancier;AutoTech Industrie;Sante;Casablanca;CDI;Debutant;Premiers secours|Soins de base|Hygiene hospitaliere|Prise des constantes;"Nous recherchons un profil Ambulancier avec maitrise de Premiers secours ; Soins de base ; Hygiene hospitaliere ; Prise des constantes. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/41;2026-05-14;Active;70
O042;Operateur Agricole;Hotel Majestic;Agriculture;Oujda;CDD;0-1 an;Fertilisation|Suivi cultures|Agriculture de precision|Capteurs agricoles;"Nous recherchons un profil Operateur Agricole avec maitrise de Fertilisation ; Suivi cultures ; Agriculture de precision ; Capteurs agricoles. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/42;2026-06-15;Active;70
O043;Technicien Valorisation Plantes;BTP Nord;Agro-industrie;Agadir;Stage pre-embauche;1-2 ans;Extraction huiles essentielles|Controle qualite|Conditionnement|HACCP;"Nous recherchons un profil Technicien Valorisation Plantes avec maitrise de Extraction huiles essentielles ; Controle qualite ; Conditionnement ; HACCP. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/43;2026-01-16;A valider;70
O044;Controleur Qualite Automobile;Energia Plus;Automobile;Meknes;Stage;Junior;Electronique embarquee|OBD|CAN Bus|Maintenance vehicule;"Nous recherchons un profil Controleur Qualite Automobile avec maitrise de Electronique embarquee ; OBD ; CAN Bus ; Maintenance vehicule. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/44;2026-02-17;Active;70
O045;Aide Educateur Prescolaire;QHSE Consulting;Education;Tanger;Interim;Debutant;Communication parentale|Accompagnement enfant|Activites prescolaires|Inclusion;"Nous recherchons un profil Aide Educateur Prescolaire avec maitrise de Communication parentale ; Accompagnement enfant ; Activites prescolaires ; Inclusion. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/45;2026-03-18;Active;70
O046;Assistant Genie Civil;AgroValor;BTP;Marrakech;CDI;0-1 an;Suivi chantier|Beton arme|Topographie|Securite chantier;"Nous recherchons un profil Assistant Genie Civil avec maitrise de Suivi chantier ; Beton arme ; Topographie ; Securite chantier. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/46;2026-04-19;Active;70
O047;Technicien Electricite Industrielle;Oujda Business Center;Electricite & Energie;Kenitra;CDD;1-2 ans;Energie solaire|Climatisation|Froid industriel|Electricite industrielle;"Nous recherchons un profil Technicien Electricite Industrielle avec maitrise de Energie solaire ; Climatisation ; Froid industriel ; Electricite industrielle. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/47;2026-05-20;Active;70
O048;Technicien Maintenance;Smart Infra Maroc;Industrie;Rabat;Stage pre-embauche;Junior;Controle qualite|Process industriel|Maintenance industrielle|Production;"Nous recherchons un profil Technicien Maintenance avec maitrise de Controle qualite ; Process industriel ; Maintenance industrielle ; Production. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/48;2026-06-21;Active;70
O049;Assistant Administratif;Atlas Services;Gestion;Fes;Stage;Debutant;Comptabilite|Excel|Gestion administrative|Facturation;"Nous recherchons un profil Assistant Administratif avec maitrise de Comptabilite ; Excel ; Gestion administrative ; Facturation. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/49;2026-01-22;A valider;70
O050;Assistant Design Graphique;Maroc Digital Solutions;Design & Communication;Nador;Interim;0-1 an;Adobe Photoshop|Adobe Illustrator|InDesign|Mise en page;"Nous recherchons un profil Assistant Design Graphique avec maitrise de Adobe Photoshop ; Adobe Illustrator ; InDesign ; Mise en page. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/50;2026-02-23;Active;70
O051;Serveur Arts de Table;Clinique Al Amal;Tourisme & Hotellerie;Casablanca;CDI;1-2 ans;Gestion reservations|HACCP|Cuisine|Arts de table;"Nous recherchons un profil Serveur Arts de Table avec maitrise de Gestion reservations ; HACCP ; Cuisine ; Arts de table. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/51;2026-03-24;Active;70
O052;Technicien Hygiene Securite;GreenAgri Maroc;QHSE;Oujda;CDD;Junior;Audit QHSE|Analyse risques|Securite travail|Environnement;"Nous recherchons un profil Technicien Hygiene Securite avec maitrise de Audit QHSE ; Analyse risques ; Securite travail ; Environnement. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/52;2026-04-25;Active;70
O053;Technicien Support IT;AutoTech Industrie;Digital & IT;Agadir;Stage pre-embauche;Debutant;CSS|SQL|Git|Linux;"Nous recherchons un profil Technicien Support IT avec maitrise de CSS ; SQL ; Git ; Linux. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/53;2026-05-26;Active;70
O054;Aide-soignant;Hotel Majestic;Sante;Meknes;Stage;0-1 an;Communication patient|Brancardage|Urgences|Premiers secours;"Nous recherchons un profil Aide-soignant avec maitrise de Communication patient ; Brancardage ; Urgences ; Premiers secours. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/54;2026-06-27;Active;70
O055;Technicien Agricole;BTP Nord;Agriculture;Tanger;Interim;1-2 ans;Cooperatives|Gestion exploitation|Irrigation|Fertilisation;"Nous recherchons un profil Technicien Agricole avec maitrise de Cooperatives ; Gestion exploitation ; Irrigation ; Fertilisation. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/55;2026-01-10;A valider;70
O056;Assistant Controle Qualite PAM;Energia Plus;Agro-industrie;Marrakech;CDI;Junior;Traçabilite|Extraction huiles essentielles|Controle qualite|Conditionnement;"Nous recherchons un profil Assistant Controle Qualite PAM avec maitrise de Traçabilite ; Extraction huiles essentielles ; Controle qualite ; Conditionnement. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/56;2026-02-11;Active;70
O057;Technicien Diagnostic Automobile;QHSE Consulting;Automobile;Kenitra;CDD;Debutant;Diagnostic automobile|Electronique embarquee|OBD|CAN Bus;"Nous recherchons un profil Technicien Diagnostic Automobile avec maitrise de Diagnostic automobile ; Electronique embarquee ; OBD ; CAN Bus. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/57;2026-03-12;Active;70
O058;Educateur Petite Enfance;AgroValor;Education;Rabat;Stage pre-embauche;0-1 an;Accompagnement enfant|Activites prescolaires|Inclusion|Animation pedagogique;"Nous recherchons un profil Educateur Petite Enfance avec maitrise de Accompagnement enfant ; Activites prescolaires ; Inclusion ; Animation pedagogique. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/58;2026-04-13;Active;70
O059;Technicien Chantier;Oujda Business Center;BTP;Fes;Stage;1-2 ans;Metre|Suivi chantier|Beton arme|Topographie;"Nous recherchons un profil Technicien Chantier avec maitrise de Metre ; Suivi chantier ; Beton arme ; Topographie. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/59;2026-05-14;Active;70
O060;Technicien Genie Thermique;Smart Infra Maroc;Electricite & Energie;Nador;Interim;Junior;Maintenance electrique|Energie solaire|Climatisation|Froid industriel;"Nous recherchons un profil Technicien Genie Thermique avec maitrise de Maintenance electrique ; Energie solaire ; Climatisation ; Froid industriel. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/60;2026-06-15;Active;70
O061;Assistant Production Industrielle;Atlas Services;Industrie;Casablanca;CDI;Debutant;5S|Controle qualite|Process industriel|Maintenance industrielle;"Nous recherchons un profil Assistant Production Industrielle avec maitrise de 5S ; Controle qualite ; Process industriel ; Maintenance industrielle. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/61;2026-01-16;A valider;70
O062;Assistant Gestion Entreprise;Maroc Digital Solutions;Gestion;Oujda;CDD;0-1 an;Relation client|ERP|Archivage|Comptabilite;"Nous recherchons un profil Assistant Gestion Entreprise avec maitrise de Relation client ; ERP ; Archivage ; Comptabilite. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/62;2026-02-17;Active;70
O063;Infographiste Prepresse;Clinique Al Amal;Design & Communication;Agadir;Stage pre-embauche;1-2 ans;Impression|Adobe Photoshop|Adobe Illustrator|InDesign;"Nous recherchons un profil Infographiste Prepresse avec maitrise de Impression ; Adobe Photoshop ; Adobe Illustrator ; InDesign. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/63;2026-03-18;Active;70
O064;Commis de Cuisine;GreenAgri Maroc;Tourisme & Hotellerie;Meknes;Stage;Junior;Communication|Service client|Reception|Gestion reservations;"Nous recherchons un profil Commis de Cuisine avec maitrise de Communication ; Service client ; Reception ; Gestion reservations. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/64;2026-04-19;Active;70
O065;Assistant QHSE;AutoTech Industrie;QHSE;Tanger;Interim;Debutant;ISO 9001|ISO 14001|ISO 45001|Audit QHSE;"Nous recherchons un profil Assistant QHSE avec maitrise de ISO 9001 ; ISO 14001 ; ISO 45001 ; Audit QHSE. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/65;2026-05-20;Active;70
O066;Assistant Infrastructure Digitale;Hotel Majestic;Digital & IT;Marrakech;CDI;0-1 an;SQL|Git|Linux|Reseaux;"Nous recherchons un profil Assistant Infrastructure Digitale avec maitrise de SQL ; Git ; Linux ; Reseaux. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Import CSV;https://example.com/offres/66;2026-06-21;Active;70
O067;Auxiliaire de Soins;BTP Nord;Sante;Kenitra;CDD;1-2 ans;Hygiene hospitaliere|Prise des constantes|Dossier patient|Communication patient;"Nous recherchons un profil Auxiliaire de Soins avec maitrise de Hygiene hospitaliere ; Prise des constantes ; Dossier patient ; Communication patient. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";ReKrute;https://example.com/offres/67;2026-01-22;A valider;70
O068;Assistant Exploitation Agricole;Energia Plus;Agriculture;Rabat;Stage pre-embauche;Junior;Agriculture de precision|Capteurs agricoles|SIG|Cooperatives;"Nous recherchons un profil Assistant Exploitation Agricole avec maitrise de Agriculture de precision ; Capteurs agricoles ; SIG ; Cooperatives. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Indeed Maroc;https://example.com/offres/68;2026-02-23;Active;70
O069;Technicien Valorisation Plantes;QHSE Consulting;Agro-industrie;Fes;Stage;Debutant;Sechage|Traçabilite|Extraction huiles essentielles|Controle qualite;"Nous recherchons un profil Technicien Valorisation Plantes avec maitrise de Sechage ; Traçabilite ; Extraction huiles essentielles ; Controle qualite. Le candidat doit etre organise ; rigoureux et disponible pour integrer une equipe professionnelle.";Saisie admin;https://example.com/offres/69;2026-03-24;Active;70
